date,1weekday,1month,2month,3month,6month,12month
2018-01-02,1.5,1.56,1.62,1.7,1.84,1.99
2018-01-03,1.5,1.56,1.62,1.68,1.81,1.96
2018-01-04,1.5,1.56,1.61,1.67,1.8,1.95
2018-01-05,1.5,1.56,1.61,1.66,1.79,1.95
2018-01-08,1.5,1.56,1.61,1.65,1.77,1.94
2018-01-09,1.5,1.56,1.61,1.65,1.76,1.94
2018-01-10,1.5,1.56,1.61,1.65,1.76,1.94
2018-01-11,1.5,1.56,1.6,1.64,1.75,1.95
2018-01-12,1.5,1.55,1.6,1.64,1.74,1.95
2018-01-15,1.5,1.55,1.6,1.64,1.73,1.94
2018-01-16,1.5,1.55,1.6,1.64,1.73,1.95
2018-01-17,1.5,1.55,1.59,1.64,1.73,1.95
2018-01-18,1.5,1.55,1.59,1.64,1.72,1.95
2018-01-19,1.5,1.55,1.59,1.64,1.72,1.94
2018-01-22,1.5,1.55,1.59,1.64,1.72,1.94
2018-01-23,1.5,1.55,1.59,1.64,1.72,1.94
2018-01-24,1.5,1.55,1.59,1.64,1.72,1.94
2018-01-25,1.5,1.55,1.59,1.64,1.72,1.94
2018-01-26,1.5,1.55,1.59,1.64,1.72,1.94
2018-01-29,1.5,1.55,1.59,1.64,1.72,1.94
2018-01-30,1.5,1.55,1.59,1.64,1.73,1.96
2018-01-31,1.5,1.55,1.59,1.64,1.73,1.96
2018-02-01,1.5,1.55,1.59,1.64,1.73,1.96
2018-02-02,1.5,1.55,1.59,1.64,1.73,1.96
2018-02-05,1.5,1.55,1.59,1.64,1.73,1.95
2018-02-06,1.5,1.55,1.59,1.64,1.73,1.96
2018-02-07,1.5,1.55,1.59,1.64,1.73,1.96
2018-02-08,1.5,1.55,1.59,1.64,1.73,1.96
2018-02-09,1.5,1.55,1.59,1.64,1.73,1.97
2018-02-12,1.5,1.55,1.59,1.64,1.73,1.98
2018-02-13,1.5,1.55,1.6,1.64,1.73,1.98
2018-02-14,1.5,1.55,1.6,1.64,1.73,1.99
2018-02-19,1.5,1.55,1.6,1.64,1.73,1.99
2018-02-20,1.5,1.55,1.6,1.64,1.73,2
2018-02-21,1.5,1.55,1.6,1.64,1.74,2.01
2018-02-22,1.5,1.55,1.6,1.64,1.74,2.01
2018-02-23,1.5,1.55,1.6,1.64,1.74,2
2018-02-26,1.5,1.55,1.6,1.64,1.74,1.99
2018-02-27,1.5,1.55,1.6,1.64,1.74,2
2018-02-28,1.5,1.55,1.6,1.64,1.74,2
2018-03-02,1.5,1.55,1.6,1.64,1.74,2
2018-03-05,1.5,1.54,1.6,1.64,1.74,2.01
2018-03-06,1.5,1.54,1.6,1.64,1.75,2.02
2018-03-07,1.5,1.54,1.6,1.64,1.76,2.03
2018-03-08,1.5,1.54,1.6,1.64,1.76,2.04
2018-03-09,1.5,1.54,1.6,1.64,1.77,2.06
2018-03-12,1.5,1.54,1.6,1.64,1.77,2.07
2018-03-13,1.5,1.54,1.6,1.64,1.78,2.07
2018-03-14,1.5,1.54,1.6,1.64,1.78,2.07
2018-03-15,1.5,1.54,1.6,1.64,1.78,2.07
2018-03-16,1.5,1.54,1.6,1.64,1.78,2.07
2018-03-19,1.5,1.54,1.6,1.64,1.79,2.07
2018-03-20,1.5,1.54,1.6,1.65,1.8,2.07
2018-03-21,1.5,1.54,1.6,1.65,1.8,2.07
2018-03-22,1.5,1.55,1.6,1.65,1.8,2.07
2018-03-23,1.5,1.55,1.6,1.65,1.8,2.05
2018-03-26,1.5,1.55,1.6,1.65,1.8,2.04
2018-03-27,1.5,1.54,1.6,1.65,1.8,2.04
2018-03-28,1.5,1.55,1.6,1.65,1.8,2.04
2018-03-29,1.5,1.55,1.6,1.65,1.8,2.04
2018-03-30,1.5,1.55,1.6,1.65,1.8,2.04
2018-04-02,1.5,1.55,1.6,1.65,1.8,2.04
2018-04-03,1.5,1.55,1.6,1.65,1.8,2.04
2018-04-04,1.5,1.55,1.6,1.65,1.8,2.02
2018-04-05,1.5,1.55,1.61,1.66,1.8,2
2018-04-06,1.5,1.55,1.61,1.66,1.8,1.99
2018-04-09,1.5,1.55,1.61,1.66,1.8,1.99
2018-04-10,1.5,1.55,1.61,1.66,1.79,1.99
2018-04-11,1.5,1.55,1.61,1.66,1.79,1.99
2018-04-12,1.5,1.55,1.61,1.66,1.79,1.98
2018-04-13,1.5,1.55,1.61,1.65,1.79,1.98
2018-04-16,1.5,1.55,1.61,1.65,1.79,1.98
2018-04-17,1.5,1.55,1.61,1.65,1.79,1.98
2018-04-18,1.5,1.55,1.61,1.65,1.79,1.97
2018-04-19,1.5,1.55,1.61,1.65,1.79,1.98
2018-04-20,1.5,1.55,1.61,1.65,1.79,1.97
2018-04-23,1.5,1.55,1.61,1.65,1.79,1.98
2018-04-24,1.5,1.55,1.61,1.65,1.79,1.98
2018-04-25,1.5,1.55,1.61,1.65,1.78,1.98
2018-04-26,1.5,1.55,1.61,1.65,1.78,1.99
2018-04-27,1.5,1.55,1.61,1.65,1.78,1.99
