"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 30일","293.77","294.60","295.47","293.40","54.66K","-0.48%"
"2019년 12월 27일","295.20","292.37","296.95","291.28","77.22K","0.39%"
"2019년 12월 26일","294.06","293.12","294.07","291.84","66.94K","0.40%"
"2019년 12월 24일","292.90","295.18","295.24","292.47","57.10K","-0.67%"
"2019년 12월 23일","294.87","295.84","296.12","293.83","60.62K","-0.15%"
"2019년 12월 20일","295.31","295.58","295.80","293.96","75.36K","0.34%"
"2019년 12월 19일","294.31","295.06","295.84","292.82","68.97K","0.03%"
"2019년 12월 18일","294.22","294.31","295.85","293.07","75.48K","-0.06%"
"2019년 12월 17일","294.40","291.76","294.50","290.52","91.97K","1.60%"
"2019년 12월 16일","289.76","289.54","290.77","289.39","72.43K","-0.12%"
"2019년 12월 13일","290.11","289.34","290.11","288.32","99.62M","1.75%"
"2019년 12월 12일","285.11","282.62","285.43","282.62","133.65M","1.72%"
"2019년 12월 11일","280.28","279.19","281.03","278.45","66.85M","0.35%"
"2019년 12월 10일","279.31","276.80","279.75","276.62","56.67M","0.46%"
"2019년 12월 09일","278.03","278.31","278.75","277.02","70.52M","0.53%"
"2019년 12월 06일","276.56","275.19","277.00","274.75","70.11M","1.19%"
"2019년 12월 05일","273.30","275.65","276.63","272.53","66.51M","-0.31%"
"2019년 12월 04일","274.15","274.36","274.68","272.53","81.92M","-0.74%"
"2019년 12월 03일","276.19","274.93","276.63","273.88","67.28M","-0.45%"
"2019년 12월 02일","277.44","278.27","279.44","276.97","66.61M","0.24%"
"2019년 11월 29일","276.78","282.08","282.10","276.34","74.60M","-1.58%"
"2019년 11월 28일","281.23","281.23","282.80","281.05","61.62M","-0.57%"
"2019년 11월 27일","282.85","283.56","284.02","281.27","60.90M","0.36%"
"2019년 11월 26일","281.83","283.09","284.87","281.77","119.52M","-0.13%"
"2019년 11월 25일","282.19","281.77","283.53","281.48","64.51M","0.99%"
"2019년 11월 22일","279.43","278.57","279.89","278.14","74.35M","0.41%"
"2019년 11월 21일","278.28","281.89","282.33","276.98","81.75M","-1.39%"
"2019년 11월 20일","282.21","284.27","285.29","282.00","73.55M","-1.40%"
"2019년 11월 19일","286.23","285.74","286.34","283.73","68.17M","-0.33%"
"2019년 11월 18일","287.18","287.10","287.78","285.94","56.11M","-0.04%"
"2019년 11월 15일","287.29","283.85","287.72","283.30","71.65M","1.18%"
"2019년 11월 14일","283.93","281.90","283.93","281.10","79.76M","0.94%"
"2019년 11월 13일","281.28","282.28","282.49","280.62","60.13M","-0.84%"
"2019년 11월 12일","283.65","281.90","283.65","280.79","65.57M","1.00%"
