"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 31일","3,230.78","3,215.18","3,231.72","3,212.03","-","0.29%"
"2019년 12월 30일","3,221.29","3,240.09","3,240.92","3,216.57","-","-0.58%"
"2019년 12월 27일","3,240.02","3,247.23","3,247.93","3,234.37","-","0.00%"
"2019년 12월 26일","3,239.91","3,227.20","3,240.08","3,227.20","-","0.51%"
"2019년 12월 24일","3,223.38","3,225.45","3,226.43","3,220.51","-","-0.02%"
"2019년 12월 23일","3,224.01","3,226.05","3,227.78","3,222.30","-","0.09%"
"2019년 12월 20일","3,221.22","3,223.33","3,225.65","3,216.03","-","0.49%"
"2019년 12월 19일","3,205.37","3,192.32","3,205.48","3,192.32","-","0.45%"
"2019년 12월 18일","3,191.14","3,195.21","3,198.48","3,191.14","-","-0.04%"
"2019년 12월 17일","3,192.52","3,195.40","3,198.22","3,191.03","-","0.03%"
"2019년 12월 16일","3,191.45","3,183.63","3,197.71","3,183.63","-","0.71%"
"2019년 12월 13일","3,168.80","3,166.65","3,182.68","3,156.51","-","0.01%"
"2019년 12월 12일","3,168.57","3,141.23","3,176.28","3,138.47","-","0.86%"
"2019년 12월 11일","3,141.63","3,135.75","3,143.98","3,133.21","-","0.29%"
"2019년 12월 10일","3,132.52","3,135.36","3,142.12","3,126.09","-","-0.11%"
"2019년 12월 09일","3,135.96","3,141.86","3,148.87","3,135.46","-","-0.32%"
"2019년 12월 06일","3,145.91","3,134.62","3,150.60","3,134.62","-","0.91%"
"2019년 12월 05일","3,117.43","3,119.21","3,119.45","3,103.76","-","0.15%"
"2019년 12월 04일","3,112.76","3,103.50","3,119.38","3,102.53","-","0.63%"
"2019년 12월 03일","3,093.20","3,087.41","3,094.97","3,070.33","-","-0.66%"
"2019년 12월 02일","3,113.87","3,143.85","3,144.31","3,110.78","-","-0.86%"
"2019년 11월 29일","3,140.98","3,147.18","3,150.30","3,139.34","-","-0.40%"
"2019년 11월 27일","3,153.63","3,145.49","3,154.26","3,143.41","-","0.42%"
"2019년 11월 26일","3,140.52","3,134.85","3,142.69","3,131.00","-","0.22%"
"2019년 11월 25일","3,133.64","3,117.44","3,133.83","3,117.44","-","0.75%"
"2019년 11월 22일","3,110.29","3,111.41","3,112.87","3,099.26","-","0.22%"
"2019년 11월 21일","3,103.54","3,108.49","3,110.11","3,094.55","-","-0.16%"
"2019년 11월 20일","3,108.46","3,114.66","3,118.97","3,091.41","-","-0.38%"
"2019년 11월 19일","3,120.18","3,127.45","3,127.64","3,113.47","-","-0.06%"
"2019년 11월 18일","3,122.03","3,117.91","3,124.17","3,112.06","-","0.05%"
"2019년 11월 15일","3,120.46","3,107.92","3,120.46","3,104.60","-","0.77%"
"2019년 11월 14일","3,096.63","3,090.75","3,098.20","3,083.26","-","0.08%"
"2019년 11월 13일","3,094.04","3,084.18","3,098.06","3,078.80","-","0.07%"
"2019년 11월 12일","3,091.84","3,089.28","3,102.61","3,084.73","-","0.16%"
"2019년 11월 11일","3,087.01","3,080.33","3,088.33","3,075.82","-","-0.20%"
"2019년 11월 08일","3,093.08","3,081.25","3,093.09","3,073.58","-","0.26%"
"2019년 11월 07일","3,085.18","3,087.02","3,097.77","3,080.23","-","0.27%"
"2019년 11월 06일","3,076.78","3,075.10","3,078.34","3,065.89","-","0.07%"
"2019년 11월 05일","3,074.62","3,080.80","3,083.95","3,072.15","-","-0.12%"
"2019년 11월 04일","3,078.27","3,078.96","3,085.20","3,074.87","-","0.37%"
"2019년 11월 01일","3,066.91","3,050.72","3,066.95","3,050.72","-","0.97%"
"2019년 10월 31일","3,037.56","3,046.90","3,046.90","3,023.19","-","-0.30%"
"2019년 10월 30일","3,046.77","3,039.74","3,050.10","3,025.96","-","0.33%"
"2019년 10월 29일","3,036.89","3,035.39","3,047.87","3,034.81","-","-0.08%"
"2019년 10월 28일","3,039.42","3,032.12","3,044.08","3,032.12","-","0.56%"
"2019년 10월 25일","3,022.55","3,003.32","3,027.39","3,001.94","-","0.41%"
"2019년 10월 24일","3,010.29","3,014.78","3,016.07","3,000.42","-","0.19%"
"2019년 10월 23일","3,004.52","2,994.01","3,004.78","2,991.21","-","0.28%"
"2019년 10월 22일","2,995.99","3,010.73","3,014.57","2,995.04","-","-0.36%"
"2019년 10월 21일","3,006.72","2,996.48","3,007.33","2,995.35","-","0.69%"
"2019년 10월 18일","2,986.20","2,996.84","3,000.00","2,976.31","-","-0.39%"
"2019년 10월 17일","2,997.95","3,000.77","3,008.29","2,991.79","-","0.28%"
"2019년 10월 16일","2,989.69","2,989.68","2,997.54","2,985.20","-","-0.20%"
