DATE,USD3MTD156N
2018-01-02,1.69693
2018-01-03,1.69593
2018-01-04,1.70381
2018-01-05,1.70393
2018-01-08,1.70802
2018-01-09,1.70457
2018-01-10,1.70911
2018-01-11,1.72019
2018-01-12,1.72152
2018-01-15,1.73133
2018-01-16,1.73408
2018-01-17,1.73918
2018-01-18,1.7447
2018-01-19,1.74447
2018-01-22,1.7413
2018-01-23,1.7452
2018-01-24,1.75246
2018-01-25,1.76031
2018-01-26,1.7669
2018-01-29,1.77225
2018-01-30,1.7734
2018-01-31,1.77777
2018-02-01,1.78698
2018-02-02,1.78902
2018-02-05,1.79345
2018-02-06,1.7907
2018-02-07,1.79989
2018-02-08,1.8105
2018-02-09,1.82
2018-02-12,1.83338
2018-02-13,1.83875
2018-02-14,1.85
2018-02-15,1.8725
2018-02-16,1.88494
2018-02-19,1.89213
2018-02-20,1.90394
2018-02-21,1.91975
2018-02-22,1.94363
2018-02-23,1.95625
2018-02-26,1.98419
2018-02-27,2.00625
2018-02-28,2.01719
2018-03-01,2.02457
2018-03-02,2.02519
2018-03-05,2.0349
2018-03-06,2.04728
2018-03-07,2.05725
2018-03-08,2.0714
2018-03-09,2.08875
2018-03-12,2.10688
2018-03-13,2.1245
2018-03-14,2.145
2018-03-15,2.1775
2018-03-16,2.20175
2018-03-19,2.22249
2018-03-20,2.24814
2018-03-21,2.27108
2018-03-22,2.28557
2018-03-23,2.29155
2018-03-26,2.29496
2018-03-27,2.302
2018-03-28,2.308
2018-03-29,2.31175
2018-03-30,.
2018-04-02,.
2018-04-03,2.32084
2018-04-04,2.32461
2018-04-05,2.33063
2018-04-06,2.33746
2018-04-09,2.3373
2018-04-10,2.33903
2018-04-11,2.34163
2018-04-12,2.34769
2018-04-13,2.35281
2018-04-16,2.35509
2018-04-17,2.35539
2018-04-18,2.35866
2018-04-19,2.36156
2018-04-20,2.35923
2018-04-23,2.35954
2018-04-24,2.36167
2018-04-25,2.36561
2018-04-26,2.35878
2018-04-27,2.35805
2018-04-30,2.36294
2018-05-01,2.35375
2018-05-02,2.36294
2018-05-03,2.36313
2018-05-04,2.36906
2018-05-07,.
2018-05-08,2.3525
2018-05-09,2.35575
2018-05-10,2.355
2018-05-11,2.3425
2018-05-14,2.33
2018-05-15,2.32063
2018-05-16,2.32563
2018-05-17,2.33125
2018-05-18,2.32938
2018-05-21,2.33
2018-05-22,2.33
2018-05-23,2.33
2018-05-24,2.31938
2018-05-25,2.31813
2018-05-28,.
2018-05-29,2.30719
2018-05-30,2.30031
2018-05-31,2.32125
2018-06-01,2.31781
2018-06-04,2.31381
2018-06-05,2.31919
2018-06-06,2.32088
2018-06-07,2.32713
2018-06-08,2.32631
2018-06-11,2.33263
2018-06-12,2.33563
2018-06-13,2.34063
2018-06-14,2.33469
2018-06-15,2.32594
2018-06-18,2.32469
2018-06-19,2.33025
2018-06-20,2.33188
2018-06-21,2.33506
2018-06-22,2.33888
2018-06-25,2.337
2018-06-26,2.33563
2018-06-27,2.33438
2018-06-28,2.33738
2018-06-29,2.33575
2018-07-02,2.3425
2018-07-03,2.33725
2018-07-04,2.33731
2018-07-05,2.33863
2018-07-06,2.33144
2018-07-09,2.33313
2018-07-10,2.33744
2018-07-11,2.337
2018-07-12,2.33919
2018-07-13,2.336
2018-07-16,2.33263
2018-07-17,2.34194
2018-07-18,2.3475
2018-07-19,2.34706
2018-07-20,2.34156
2018-07-23,2.33531
2018-07-24,2.33488
2018-07-25,2.33688
2018-07-26,2.33888
2018-07-27,2.34238
2018-07-30,2.34313
2018-07-31,2.34856
2018-08-01,2.34825
2018-08-02,2.3405
2018-08-03,2.343
2018-08-06,2.34325
2018-08-07,2.34144
2018-08-08,2.3405
2018-08-09,2.338
2018-08-10,2.31925
2018-08-13,2.31375
2018-08-14,2.31519
2018-08-15,2.31175
2018-08-16,2.32225
2018-08-17,2.31188
2018-08-20,2.30963
2018-08-21,2.31025
2018-08-22,2.31175
2018-08-23,2.31138
2018-08-24,2.31725
2018-08-27,.
2018-08-28,2.31475
2018-08-29,2.31263
2018-08-30,2.32125
2018-08-31,2.32075
2018-09-03,2.31563
2018-09-04,2.32275
2018-09-05,2.31681
2018-09-06,2.32706
2018-09-07,2.33125
2018-09-10,2.33425
2018-09-11,2.33425
2018-09-12,2.3315
2018-09-13,2.33413
2018-09-14,2.33713
2018-09-17,2.33875
2018-09-18,2.3375
2018-09-19,2.35338
2018-09-20,2.36638
2018-09-21,2.37263
2018-09-24,2.37363
2018-09-25,2.381
2018-09-26,2.38613
2018-09-27,2.396
